Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
1,0.008863975124990103,0.6179988789040053,0.01984708309173584,0.25225
2,0.007711726472824362,0.6698724841442477,0.018555427312850953,0.26375
3,0.0069476908932007,0.6949138201522294,0.016725217759609223,0.34675
4,0.0065198986175287205,0.714885545970224,0.016573173612356187,0.36625
5,0.00621856464562956,0.7296748469069384,0.015231868982315063,0.41125
6,0.005937251601808274,0.7388163623607884,0.014970548242330552,0.4265
7,0.005735204500186953,0.746177520967668,0.014348412066698074,0.428
8,0.005598695844579012,0.751247131157655,0.015362854093313217,0.40675
9,0.0054843530799739805,0.7557315151365587,0.014450337052345276,0.4285
10,0.005378357969184081,0.759750538513878,0.014058461278676987,0.4315
