Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
1,0.0087423846321815,0.6224973647193206,0.0193712610006332,0.2685
2,0.0075188279301111,0.6760561394107548,0.0175465949773788,0.31475
3,0.006847728943075,0.6999622775875989,0.0167356814444065,0.33375
4,0.0064613360333122,0.7200961745243274,0.015295491695404,0.4005
5,0.0061641333014091,0.7318006987459942,0.0152262927889823,0.3835
6,0.0058942755021803,0.7417178152024847,0.0154587466716766,0.389
7,0.0057202674170509,0.7472316332394386,0.0147274506986141,0.422
8,0.0056015719168862,0.7522906670521169,0.0136565668582916,0.43925
9,0.0054877776036475,0.7564612851708614,0.0154593863487243,0.396
10,0.0053875726873335,0.7600607789149342,0.0147948448657989,0.4125
11,0.0053030860783328,0.7633888123080829,0.0133741079568862,0.46475
12,0.0052184225212803,0.7674325138991225,0.0138455266356468,0.45575
13,0.0051495872472389,0.7702317284268344,0.0133435660302639,0.47175
14,0.0050688742633939,0.773320030600985,0.0138834326267242,0.44825
15,0.0049854437709029,0.7763272472157686,0.0137048382759094,0.45
16,0.0049145290128699,0.779027748888599,0.0133722191751003,0.464
17,0.0048526390065192,0.7826201917144661,0.0136231759190559,0.46025
18,0.0047879045670676,0.7854440844558983,0.0131559478044509,0.49125
19,0.0047302464762069,0.7872914250258239,0.0141513049006462,0.45
20,0.004650244469356,0.7907111203556483,0.0131224797368049,0.4825
