Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
1,0.01341253076222389,0.317465829487645,0.011552501231431962,0.44975
2,0.010694096893818419,0.48674251104350064,0.010575026392936707,0.51975
3,0.009413245500184101,0.5564866684764024,0.01024381086230278,0.54875
4,0.008598195542238549,0.595917165812918,0.010440828040242196,0.54825
5,0.007934860874610327,0.6285558661876743,0.010867425918579102,0.54275
6,0.0073377285959652944,0.6577413793711286,0.010954676151275634,0.54125
7,0.006881171029386353,0.6794053255585208,0.011531183391809464,0.5465
8,0.00649004388957303,0.6977165601390442,0.011671528548002243,0.558
9,0.00615948273379478,0.7134030904174496,0.01258392623066902,0.546
10,0.005858510615973999,0.7286630401444028,0.014248749643564224,0.52975
