Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
1,0.01357295937,0.3042030523,0.01211522773,0.422
2,0.01068480222,0.4886674117,0.01039445359,0.53125
3,0.009337925824,0.5606167438,0.01060886741,0.53725
4,0.008538818618659018,0.6003469051757265,0.010469527274370194,0.566
5,0.007931716639923852,0.6298250314647225,0.010764626085758209,0.54925
6,0.007386799082451819,0.6551166750690108,0.011366690009832382,0.5535
7,0.006968221109179728,0.6755661005954501,0.012428391069173813,0.541
8,0.006559750372941773,0.6943973403936528,0.012004229813814164,0.5525
9,0.006208737295806818,0.7116297844886851,0.012402726769447326,0.54125
10,0.005919993493146467,0.725481313304025,0.014467055350542069,0.5355
