Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
1,0.0301352769905413,0.6450655911666097,0.0524557980000972,0.53525
2,0.0381958294184438,0.5446481768088249,0.0395009040981531,0.53675
3,0.0336862847143152,0.6027354037179492,0.0401410490125417,0.553
4,0.0294210736532685,0.656509231414661,0.0430669822394847,0.54
5,0.0262878805302384,0.6956559292933923,0.0458237148672342,0.54225
6,0.0263957154570382,0.6940606590493247,0.0458533994853496,0.53975
7,0.0245755268934807,0.7160401338264275,0.0479811116755008,0.54675
8,0.0223218926540805,0.741927580019108,0.050326183527708,0.54275
9,0.0221680155045884,0.7437379032684531,0.0513226691931486,0.54075
10,0.0220948620441784,0.7446985908739966,0.0510405607074499,0.53875
