Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
1,0.009185860853782792,0.6025326898195318,0.020052498579025267,0.223
2,0.008014914326087632,0.6573606297880141,0.018340747773647307,0.2745
3,0.00736516609050214,0.678802472051923,0.016794135004281997,0.32875
4,0.00685635944898359,0.6997401736641155,0.016575775384902954,0.37
5,0.006527536105991272,0.7157492834504373,0.015489911794662475,0.39025
6,0.006266142914449191,0.7249683590045514,0.0157273727953434,0.3825
7,0.006061242253513806,0.7327067417354425,0.014185777008533478,0.421
8,0.005920480725042797,0.7376670626932392,0.014425277441740035,0.41025
9,0.005830914675083069,0.7417037133660731,0.01502808329463005,0.402
10,0.00573601349511362,0.7451480869096178,0.013418290972709655,0.46325
