Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
40,0.009212934061663066,0.5614434639750961,0.01075745576620102,0.5245
41,0.00918875681973113,0.5625810121123023,0.010798376262187957,0.52975
42,0.009140412326255539,0.5647456440014901,0.010796212494373321,0.5295
43,0.009097092826266404,0.5669925366030791,0.011040721833705903,0.5235
44,0.009074928503666688,0.5687811195212896,0.011213144183158875,0.5195
45,0.009033108209972288,0.5703769773418743,0.010962793588638305,0.52175
46,0.009013667030719706,0.571655543843197,0.010834094405174256,0.5335
47,0.008993601799585596,0.5731385869724885,0.011057581186294557,0.5195
48,0.008953985512929261,0.5752797158009901,0.011002654284238815,0.51775
49,0.009007937081481268,0.5718094888906908,0.010929340004920959,0.52925
50,0.008979721497507243,0.5737684689988753,0.010859853714704513,0.53125
51,0.008940878305829413,0.5748402085661606,0.010746901392936707,0.53025
