Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
1,0.0568144509429393,0.2671434262526838,0.0465892175734043,0.41675
2,0.0425482015209293,0.4854469048231806,0.0409575729519128,0.5215
3,0.0650714592309288,0.128566442564983,0.0651169825196266,0.13325
4,0.0647961321895585,0.1411593824805835,0.0621829656660556,0.20275
5,0.0550712997031025,0.2910002080020871,0.0498036834597587,0.37925
6,0.0534178164817774,0.3160115776076939,0.0450939417481422,0.44325
7,0.0403160190831157,0.5163493165897529,0.0392544341236352,0.54775
8,0.0338191684646087,0.6038194823920945,0.0397794243395328,0.54725
9,0.0289893634842303,0.6631846882260243,0.0430250167399644,0.56125
10,0.0249581053467912,0.7133713612855234,0.0488336877375841,0.541
