Epoch,Loss,Accuracy,VAL_Loss,VAL_Accuracy
3,0.009345166277,0.5608000677,0.009875007421,0.5565
4,0.008535491207556761,0.6002587686981538,0.010340874522924422,0.5505
5,0.007931907300672964,0.6288643438591791,0.010313532024621963,0.55625
6,0.007434605491473983,0.6534914384225686,0.011238399624824523,0.555
7,0.006960791380889044,0.6748098896178755,0.012108094364404678,0.5455
8,0.006580249523274384,0.6937045876799306,0.012579056531190872,0.5375
9,0.006241713131445035,0.7100080733013456,0.012642765194177627,0.56
10,0.005973432216233148,0.7226891496945189,0.01382021740078926,0.53475
